Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,46450.000000,46800.000000,45800.000000,46350.000000,45922.152344,6354983
2018-10-02,46450.000000,46700.000000,45700.000000,45700.000000,45278.152344,6607188
2018-10-04,45150.000000,45600.000000,44700.000000,44700.000000,44287.382813,11865327
2018-10-05,44800.000000,45500.000000,44550.000000,44700.000000,44287.382813,10544165
2018-10-08,44200.000000,45200.000000,44200.000000,44950.000000,44535.074219,6759464
2018-10-10,45250.000000,45500.000000,44500.000000,45300.000000,44881.843750,10341349
2018-10-11,44000.000000,44650.000000,43100.000000,43100.000000,42702.152344,19324537
2018-10-12,43200.000000,44650.000000,43200.000000,44000.000000,43593.843750,12640906
2018-10-15,44050.000000,44050.000000,43350.000000,43800.000000,43395.691406,7434522
2018-10-16,43700.000000,44150.000000,43350.000000,43600.000000,43197.539063,6825677
2018-10-17,44150.000000,44500.000000,44000.000000,44150.000000,43742.460938,8306193
2018-10-18,43950.000000,44450.000000,43700.000000,44050.000000,43643.382813,8347725
2018-10-19,43900.000000,44150.000000,43450.000000,43900.000000,43494.769531,7842520
2018-10-22,43450.000000,43950.000000,43200.000000,43550.000000,43148.000000,8357648
2018-10-23,43300.000000,43450.000000,42550.000000,43050.000000,42652.613281,9531231
2018-10-24,43050.000000,43100.000000,42250.000000,42550.000000,42157.230469,13522825
2018-10-25,40600.000000,41550.000000,40550.000000,41000.000000,40621.539063,19338170
2018-10-26,41100.000000,41300.000000,40400.000000,41000.000000,40621.539063,14413864
2018-10-29,40850.000000,41950.000000,40550.000000,41400.000000,41017.843750,14460521
2018-10-30,41400.000000,43000.000000,41000.000000,42350.000000,41959.074219,14205190
2018-10-31,42900.000000,43350.000000,41700.000000,42400.000000,42008.613281,17621480
2018-11-01,42450.000000,42950.000000,42150.000000,42150.000000,41760.921875,13423132
2018-11-02,43050.000000,44250.000000,42800.000000,44150.000000,43742.460938,16517112
2018-11-05,43750.000000,43800.000000,42900.000000,43800.000000,43395.691406,9426777
2018-11-06,43750.000000,43800.000000,42950.000000,43750.000000,43346.152344,7713625
2018-11-07,43600.000000,44500.000000,43400.000000,44000.000000,43593.843750,11553998
2018-11-08,44900.000000,45050.000000,44050.000000,44050.000000,43643.382813,12617397
2018-11-09,44450.000000,44850.000000,43900.000000,44300.000000,43891.074219,7318500
2018-11-12,43850.000000,45250.000000,43700.000000,45200.000000,44782.769531,8552566
2018-11-13,43900.000000,44500.000000,43400.000000,44500.000000,44089.230469,9311126
2018-11-14,44500.000000,44500.000000,43800.000000,44100.000000,43692.921875,6783344
2018-11-15,null,null,null,null,null,null
2018-11-16,44600.000000,44750.000000,43700.000000,44000.000000,43593.843750,7777124
2018-11-19,44050.000000,44250.000000,43450.000000,43650.000000,43247.074219,7538720
2018-11-20,42450.000000,43000.000000,42100.000000,42800.000000,42404.921875,9420664
2018-11-21,41800.000000,42300.000000,41800.000000,42100.000000,41711.382813,10769589
2018-11-22,42000.000000,42650.000000,42000.000000,42450.000000,42058.152344,5970796
2018-11-23,42450.000000,42600.000000,41900.000000,42400.000000,42008.613281,5192638
2018-11-26,42150.000000,42800.000000,42100.000000,42600.000000,42206.769531,6613009
2018-11-27,42900.000000,43100.000000,42500.000000,43050.000000,42652.613281,8367091
2018-11-28,42800.000000,43200.000000,42750.000000,43150.000000,42751.691406,6943099
2018-11-29,43850.000000,43850.000000,42900.000000,43150.000000,42751.691406,8473511
2018-11-30,43450.000000,44000.000000,41750.000000,41850.000000,41463.691406,19775519
2018-12-03,42750.000000,43400.000000,42400.000000,43250.000000,42850.769531,12110702
2018-12-04,42650.000000,42900.000000,41900.000000,42150.000000,41760.921875,14347746
2018-12-05,40900.000000,41750.000000,40850.000000,41450.000000,41067.382813,12631983
2018-12-06,40600.000000,41100.000000,40450.000000,40500.000000,40126.152344,14251826
2018-12-07,40900.000000,41400.000000,40850.000000,40950.000000,40572.000000,11433083
2018-12-10,40450.000000,40650.000000,40000.000000,40200.000000,39828.921875,14892263
2018-12-11,40600.000000,40700.000000,40200.000000,40250.000000,39878.460938,10638766
2018-12-12,40250.000000,40700.000000,40150.000000,40450.000000,40076.613281,12024279
2018-12-13,40650.000000,40750.000000,40000.000000,40000.000000,39630.769531,26254646
2018-12-14,40200.000000,40200.000000,38700.000000,38950.000000,38590.460938,19671783
2018-12-17,38650.000000,39600.000000,38650.000000,39150.000000,38788.613281,11532968
2018-12-18,38300.000000,39200.000000,38300.000000,38900.000000,38540.921875,11042101
2018-12-19,38900.000000,39350.000000,38850.000000,39100.000000,38739.074219,9942037
2018-12-20,38600.000000,39100.000000,38500.000000,38650.000000,38293.230469,11937617
2018-12-21,38200.000000,38650.000000,38100.000000,38650.000000,38293.230469,14947080
2018-12-24,38500.000000,39050.000000,38300.000000,38800.000000,38441.843750,9729530
2018-12-26,38400.000000,38750.000000,38300.000000,38350.000000,37996.000000,12707675
2018-12-27,38700.000000,38800.000000,38100.000000,38250.000000,38250.000000,10510643
2018-12-28,38250.000000,38900.000000,38200.000000,38700.000000,38700.000000,9900267
